Прайс-лист на 18 июня 2018 г.;;;;;;;;;
Курс 61;;;;;;;;;
Ценовая группа;;ВАШ ЗАКАЗ;Розница;1 Оптовая У.Е.;;;;;
Артикул;Номенклатура;;руб.;У.Е;;;;;
;;;Включает НДС;Включает НДС;;;;;
;;;Цена;Цена;;;;;
;;;;;;;;;
;Товары;;;;;;;;
;Набор для заправки BURSTEN Plug-n-Print ;;;;;;;;
;Набор для заправки BURSTEN Plug-n-Print CAN CL-41/51 Color на 2 заправки (6 ёмкостей с чернилами);;560.0;7.15;;;;;BC75
;Набор для заправки BURSTEN Plug-n-Print CAN CL-441 Color на 2 заправки (6 ёмкостей с чернилами);;560.0;9.29;;;;;BC75
;Набор для заправки BURSTEN Plug-n-Print CAN CL-511 Color на 2 заправки (6 ёмкостей с чернилами);;560.0;7.15;;;;;BC75
;Набор для заправки BURSTEN Plug-n-Print CAN PG-440 Black (Pigment) на 3 заправки;;560.0;6.92;;;;;BC5
;Набор для заправки BURSTEN Plug-n-Print HP 28/57 Color на 2 заправки (6 ёмкостей с чернилами);;500.0;6.55;;;;;B7H5
;Набор для заправки BURSTEN Plug-n-Print к Can PGI-425/PGI-520/PGI-5B Black (Pigment) на 3 заправки;;560.0;6.55;;;;;BC5
;Набор для заправки BURSTEN Plug-n-Print к картриджам Canon PG-40//50 Black (Pigment) на 3 заправки;;440.0;5.32;;;;;BC5
;Набор для заправки BURSTEN Plug-n-Print к картриджам Canon PG-510 Black (Pigment) на 3 заправки;;440.0;5.32;;;;;BC5
;Набор для заправки BURSTEN Plug-n-Print к картриджам Canon PGI-5B Black (Pigment) на 3 заправки;;560.0;6.55;;;;;BC5
;Набор для заправки BURSTEN Plug-n-Print к картриджам HP 178/920 Black (Pigment) на 6 заправoк;;380.0;4.91;;;;;BH5
;Набор для заправки BURSTEN Plug-n-Print к картриджам HP 178/920 Black Photo на 20 заправoк;;440.0;5.68;;;;;BH5
;Набор для заправки BURSTEN Plug-n-Print к картриджам HP 178/920 Cyan на 20 заправoк;;380.0;4.91;;;;;BH5
;Набор для заправки BURSTEN Plug-n-Print к картриджам HP 178/920 Magenta на 20 заправoк;;380.0;4.91;;;;;BH5
;Набор для заправки BURSTEN Plug-n-Print к картриджам HP 178/920 Yellow на 20 заправoк;;380.0;4.91;;;;;BH5
;Набор для заправки BURSTEN Plug-n-Print к картриджам HP 27/56 Black (Pigment) на 3 заправки;;380.0;4.91;;;;;BH5
;Сублимация;;;;;;;;
;Фотобумага для сублимации;;;;;;;;
;Фотобумага для сублимации А3, 100 листов;;1800.0;30.0;;;;;Z
;Фотобумага для сублимации А4, 100 листов;;900.0;14.4;;;;;Z
;Чернила сублимационные INK-MATE 0,5 литра (оригинальная упаковка Alphachem Co.);;;;;;;;
;Комплект чернила сублимационные TIM P40 (оригинальная упаковка Alphachem Co.), 500 g x6;;17250.0;197.06;;;;;i7ZX
;Чернила сублимационные INK-MATE 1 литр (оригинальная упаковка Alphachem Co.);;;;;;;;
;Чернила TIM P40 BLACK, 1000 мл ( оригинальная упаковка Alphachem Co.);;5730.0;65.48;;;;;i7ZY
;Чернила TIM P40 CYAN, 1000 мл ( оригинальная упаковка Alphachem Co.);;5730.0;65.48;;;;;i7ZY
;Чернила TIM P40 LIGHT CYAN, 1000 мл ( оригинальная упаковка Alphachem Co.);;5730.0;65.48;;;;;i7ZY
;Чернила TIM P40 LIGHT MAGENTA, 1000 мл ( оригинальная упаковка Alphachem Co.);;5730.0;65.48;;;;;i7ZY
;Чернила TIM P40 MAGENTA, 1000 мл ( оригинальная упаковка Alphachem Co.);;5730.0;65.48;;;;;i7ZY
;Чернила сублимационные INK-MATE 1 литр CHERNIL.NET;;;;;;;;
2773508130194.0;Комплект чернил сублимационных (TIMA,CMY,LC/LM) для принтеров/плоттеров, 1000 мл x6 (CHERNIL.NET);;34380.0;392.89;;;;;i7ZY
2773508130187.0;Комплект чернил сублимационных Ink-Mate (TIMA,CMY) для принтеров/плоттеров, 1000 мл x4 (CHERNIL.NET);;22920.0;261.92;;;;;i7ZY
2773108090225.0;Чернила сублимационные Ink-Mate TIM A для принтеров/плоттеров BLACK ,1000 мл (CHERNIL.NET);;5730.0;65.48;;;;;i7ZY
2773108090232.0;Чернила сублимационные Ink-Mate TIM C для принтеров/плоттеров CYAN, 1000 мл ( CHERNIL.NET);;5730.0;65.48;;;;;i7ZY
2773108090263.0;Чернила сублимационные Ink-Mate TIM LC для принтеров/плоттеров LIGHT CYAN , 1000 мл (CHERNIL.NET);;5730.0;65.48;;;;;i7ZY
